Apartment,School,Distance
Nine at Rio,COLA,0.31 miles
Nine at Rio,McCombs,0.56 miles
Nine at Rio,Fine Arts,0.93 miles
Nine at Rio,Education,0.75 miles
Nine at Rio,Geosciences,0.75 miles
Rise,Cockrell,0.75 miles
Rise,CNS,0.5 miles
Rise,Architecture,0.25 miles
Rise,Moody,0.5 miles
Rise,COLA,0.37 miles
Rise,McCombs,0.5 miles
Rise,Fine Arts,0.81 miles
Rise,Education,0.81 miles
Rise,Geosciences,0.62 miles
Ion Austin,Cockrell,0.75 miles
Ion Austin,CNS,0.5 miles
Ion Austin,Architecture,0.19 miles
Ion Austin,Moody,0.56 miles
Ion Austin,COLA,0.25 miles
Ion Austin,McCombs,0.43 miles
Ion Austin,Fine Arts,0.81 miles
Ion Austin,Education,0.62 miles
Ion Austin,Geosciences,0.62 miles
Rambler,Cockrell,0.68 miles
Rambler,CNS,0.5 miles
Rambler,Architecture,0.5 miles
Rambler,Moody,0.12 miles
Rambler,COLA,0.62 miles
Rambler,McCombs,0.68 miles
Rambler,Fine Arts,0.93 miles
Rambler,Education,0.99 miles
Rambler,Geosciences,0.75 miles
The Block on 25th,Cockrell,0.81 miles
The Block on 25th,CNS,0.62 miles
The Block on 25th,Architecture,0.56 miles
The Block on 25th,Moody,0.37 miles
The Block on 25th,COLA,0.75 miles
The Block on 25th,McCombs,0.81 miles
The Block on 25th,Fine Arts,1.06 miles
The Block on 25th,Education,1.06 miles
The Block on 25th,Geosciences,0.87 miles
Delphi Condominiums,Cockrell,0.75 miles
Delphi Condominiums,CNS,0.5 miles
Delphi Condominiums,Architecture,0.43 miles
Delphi Condominiums,Moody,0.43 miles
Delphi Condominiums,COLA,0.62 miles
Delphi Condominiums,McCombs,0.68 miles
Delphi Condominiums,Fine Arts,0.93 miles
Delphi Condominiums,Education,0.93 miles
Delphi Condominiums,Geosciences,0.75 miles
Lenox Condos,Cockrell,0.93 miles
Lenox Condos,CNS,0.68 miles
Lenox Condos,Architecture,0.5 miles
Lenox Condos,Moody,0.68 miles
Lenox Condos,COLA,0.62 miles
Lenox Condos,McCombs,0.75 miles
Lenox Condos,Fine Arts,1.12 miles
Lenox Condos,Education,1.06 miles
Lenox Condos,Geosciences,0.87 miles
Lark Austin,Cockrell,0.81 miles
Lark Austin,CNS,0.56 miles
Lark Austin,Architecture,0.25 miles
Lark Austin,Moody,0.62 miles
Lark Austin,COLA,0.31 miles
Lark Austin,McCombs,0.5 miles
Lark Austin,Fine Arts,0.87 miles
Lark Austin,Education,0.68 miles
Lark Austin,Geosciences,0.68 miles
GrandMarc,Cockrell,0.62 miles
GrandMarc,CNS,0.5 miles
GrandMarc,Architecture,0.5 miles
GrandMarc,Moody,0.12 miles
GrandMarc,COLA,0.62 miles
GrandMarc,McCombs,0.68 miles
GrandMarc,Fine Arts,0.93 miles
GrandMarc,Education,0.93 miles
GrandMarc,Geosciences,0.75 miles
Inspire on 22nd,Cockrell,0.75 miles
Inspire on 22nd,CNS,0.5 miles
Inspire on 22nd,Architecture,0.19 miles
Inspire on 22nd,Moody,0.56 miles
Inspire on 22nd,COLA,0.37 miles
Inspire on 22nd,McCombs,0.5 miles
Inspire on 22nd,Fine Arts,0.81 miles
Inspire on 22nd,Education,0.81 miles
Inspire on 22nd,Geosciences,0.62 miles
Villas on 26th,Cockrell,0.81 miles
Villas on 26th,CNS,0.68 miles
Villas on 26th,Architecture,0.68 miles
Villas on 26th,Moody,0.31 miles
Villas on 26th,COLA,0.81 miles
Villas on 26th,McCombs,0.87 miles
Villas on 26th,Fine Arts,1.12 miles
Villas on 26th,Education,1.12 miles
Villas on 26th,Geosciences,0.93 miles
The Standard,Cockrell,0.81 miles
The Standard,CNS,0.56 miles
The Standard,Architecture,0.43 miles
The Standard,Moody,0.5 miles
The Standard,COLA,0.56 miles
The Standard,McCombs,0.68 miles
The Standard,Fine Arts,0.99 miles
The Standard,Education,0.99 miles
The Standard,Geosciences,0.75 miles
Crest at Pearl,Cockrell,0.93 miles
Crest at Pearl,CNS,0.68 miles
Crest at Pearl,Architecture,0.43 miles
Crest at Pearl,Moody,0.75 miles
Crest at Pearl,COLA,0.37 miles
Crest at Pearl,McCombs,0.62 miles
Crest at Pearl,Fine Arts,0.99 miles
Crest at Pearl,Education,0.81 miles
Crest at Pearl,Geosciences,0.81 miles
