Timestamp,What school of UT are you in,Where are you living this year?,How many bedrooms in your apt,How many bathrooms in your apt,How much do you pay monthly just for the apartment?,When did you sign your lease? (Approximations are cool :P),Rate your satisfaction of the apt from 1-10!,What is your walk time to your classes?,Extra Notes,,
10/21/2023 12:18:11,Information,The Mark,2,2,1680,7/15/2023,7,11 - 15 min,,,
10/21/2023 12:26:37,McCombs,The Mark,2,2,1700,4/10/2023,10,11 - 15 min,,,
10/21/2023 12:58:29,CNS,The Mark,2,2,1035,8/15/2022,6,5 - 10 min,,,
10/21/2023 14:39:17,McCombs,The Mark,3,3,1505,10/10/2022,7,11 - 15 min,,,
10/21/2023 16:44:28,Cockrell,The Mark,3,3,1787,10/11/2023,1,16 - 20 min,,,
10/21/2023 12:16:41,COLA,The Mark,4,4,1245,3/15/2023,5,11 - 15 min,,,
10/21/2023 12:16:44,Cockrell,The Mark,4,4,1315,10/15/2022,7,11 - 15 min,,,
10/21/2023 12:17:36,COLA,The Mark,4,4,1400,3/20/2023,8,5 - 10 min,,,
10/21/2023 12:18:26,McCombs,The Mark,4,4,1310,10/1/2022,8,11 - 15 min,,,
10/21/2023 12:20:47,Moody,The Mark,4,4,1330,2/15/2023,8,11 - 15 min,,,
10/21/2023 12:44:41,Cockrell,The Mark,4,4,1262,3/15/2023,8,16 - 20 min,,,
10/21/2023 13:30:45,COLA,The Mark,4,4,1348,3/10/2023,7,11 - 15 min,,,
10/21/2023 13:49:38,McCombs,The Mark,4,4,1300,4/1/2023,7,16 - 20 min,,,
10/21/2023 17:10:41,Education,The Mark,4,4,1500,1/10/2023,7,21+ min,,,
10/21/2023 12:17:56,CNS,The Mark,5,5,1260,11/15/2022,7,16 - 20 min,,,
10/21/2023 12:19:01,CNS,The Mark,5,5,1278,4/30/2023,10,16 - 20 min,,,
10/21/2023 12:27:21,Fine Arts,The Mark,5,5,1600,5/20/2023,8,5 - 10 min,,,
10/21/2023 16:40:09,CNS,The Mark,5,5,1260,12/1/2022,7,11 - 15 min,,,
10/21/2023 12:17:12,McCombs,The Mark,6,6,1035,12/1/2022,8,5 - 10 min,,,
10/21/2023 12:26:27,McCombs,The Mark,6,6,1035,10/5/2022,9,16 - 20 min,,,
10/21/2023 16:37:44,COLA,The Mark,6,6,1035,10/12/2022,9,11 - 15 min,,,
10/21/2023 15:48:42,"COLA, Social Work",The Mark ,5,5,1310,1/27/2022,10,5 - 10 min,,,
10/21/2023 15:04:27,McCombs,The Standard,4,4,1250,11/1/2022,8,11 - 15 min,,,
10/21/2023 17:02:49,Cockrell,The Standard,4,4,1260,3/10/2023,8,16 - 20 min,,,
10/21/2023 12:24:13,CNS,Twenty Two Fifteen,1,1,1410,10/1/2022,9,11 - 15 min,,,
10/21/2023 12:26:13,Cockrell,Twenty Two Fifteen,1,1,1350,11/2/2022,9,16 - 20 min,,,
10/21/2023 12:57:53,CNS,Twenty Two Fifteen,2,2,1135,10/10/2022,8,5 - 10 min,,,
10/21/2023 12:14:49,COLA,Twenty Two Fifteen,4,4,1180,11/30/2022,6,11 - 15 min,,,
10/21/2023 12:19:44,Moody,Twenty Two Fifteen,4,4,1125,12/15/2023,8,5 - 10 min,,,
10/21/2023 12:22:10,Cockrell,Twenty Two Fifteen,4,4,1125,11/16/2022,8,11 - 15 min,,,
10/21/2023 12:26:04,Cockrell,Twenty Two Fifteen,4,4,1165,11/1/2022,6,11 - 15 min,,,
10/21/2023 12:27:09,"CNS, Moody",Twenty Two Fifteen,4,4,1190,11/1/2022,5,11 - 15 min,,,
10/21/2023 14:47:06,McCombs,Villas on 26th,3,3,1070,11/11/2022,6,16 - 20 min,,,
10/21/2023 12:22:28,McCombs,Villas on Rio,3,3,1450,9/23/2022,10,11 - 15 min,,,
10/21/2023 12:15:12,CNS,Waterloo,4,4,1540,10/10/2022,9,5 - 10 min,,,
10/21/2023 13:01:33,McCombs,Waterloo,6,6,1204,3/1/2023,8,11 - 15 min,,,
