Cockrell,"2501 Speedway, Austin, TX 78712"
CNS,"105 E 24th St, Austin, TX 78712"
Architecture,"310 Inner Campus Drive, Austin, TX 78712"
Moody,"300 W. Dean Keeton, Austin, TX 78712"
COLA,"201 W 21st St, Austin, TX 78705"
McCombs,"2110 Speedway, Austin, TX 78705"
Fine Arts,"2301 Trinity St, Austin, TX 78712"
Education,"2109 San Jacinto Blvd, Austin, TX 78712"
Geosciences,"23 San Jacinto Blvd, Austin, TX 78712"
